kode_barang,nama_barang,stok,nama_bagian
BRG-0314,"Barang Contoh Ke-314",223,"Pengadaan Tanah dan Pengembangan"
BRG-0315,"Barang Contoh Ke-315",409,"Survei dan Pemetaan"
BRG-0316,"Barang Contoh Ke-316",423,"Pengendalian dan Penanganan Sengketa"
BRG-0317,"Barang Contoh Ke-317",281,"Penetapan Hak dan Pendaftaran"
BRG-0318,"Barang Contoh Ke-318",304,"Tata Usaha"
BRG-0319,"Barang Contoh Ke-319",51,"Tata Usaha"
BRG-0320,"Barang Contoh Ke-320",375,"Pengadaan Tanah dan Pengembangan"
BRG-0321,"Barang Contoh Ke-321",15,"Penetapan Hak dan Pendaftaran"
BRG-0322,"Barang Contoh Ke-322",367,"Survei dan Pemetaan"
BRG-0323,"Barang Contoh Ke-323",336,"Survei dan Pemetaan"
BRG-0324,"Barang Contoh Ke-324",356,"Penetapan Hak dan Pendaftaran"
BRG-0325,"Barang Contoh Ke-325",152,"Survei dan Pemetaan"
BRG-0326,"Barang Contoh Ke-326",62,"Pengadaan Tanah dan Pengembangan"
BRG-0327,"Barang Contoh Ke-327",140,"Survei dan Pemetaan"
BRG-0328,"Barang Contoh Ke-328",308,"Pengadaan Tanah dan Pengembangan"
BRG-0329,"Barang Contoh Ke-329",188,"Survei dan Pemetaan"
BRG-0330,"Barang Contoh Ke-330",63,"Tata Usaha"
BRG-0331,"Barang Contoh Ke-331",255,"Penataan dan Pemberdayaan"
BRG-0332,"Barang Contoh Ke-332",380,"Pengadaan Tanah dan Pengembangan"
BRG-0333,"Barang Contoh Ke-333",35,"Survei dan Pemetaan"
BRG-0334,"Barang Contoh Ke-334",123,"Pengadaan Tanah dan Pengembangan"
BRG-0335,"Barang Contoh Ke-335",38,"Penataan dan Pemberdayaan"
BRG-0336,"Barang Contoh Ke-336",113,"Survei dan Pemetaan"
BRG-0337,"Barang Contoh Ke-337",180,"Penetapan Hak dan Pendaftaran"
BRG-0338,"Barang Contoh Ke-338",399,"Survei dan Pemetaan"
BRG-0339,"Barang Contoh Ke-339",191,"Pengadaan Tanah dan Pengembangan"
BRG-0340,"Barang Contoh Ke-340",412,"Pengendalian dan Penanganan Sengketa"
BRG-0341,"Barang Contoh Ke-341",104,"Penetapan Hak dan Pendaftaran"
BRG-0342,"Barang Contoh Ke-342",316,"Penetapan Hak dan Pendaftaran"
BRG-0343,"Barang Contoh Ke-343",379,"Tata Usaha"
BRG-0344,"Barang Contoh Ke-344",22,"Pengendalian dan Penanganan Sengketa"
BRG-0345,"Barang Contoh Ke-345",164,"Pengadaan Tanah dan Pengembangan"
BRG-0346,"Barang Contoh Ke-346",334,"Pengadaan Tanah dan Pengembangan"
BRG-0347,"Barang Contoh Ke-347",166,"Penetapan Hak dan Pendaftaran"
BRG-0348,"Barang Contoh Ke-348",314,"Tata Usaha"
BRG-0349,"Barang Contoh Ke-349",393,"Pengendalian dan Penanganan Sengketa"
BRG-0350,"Barang Contoh Ke-350",456,"Tata Usaha"
BRG-0351,"Barang Contoh Ke-351",491,"Penataan dan Pemberdayaan"
BRG-0352,"Barang Contoh Ke-352",251,"Pengendalian dan Penanganan Sengketa"
BRG-0353,"Barang Contoh Ke-353",126,"Survei dan Pemetaan"
BRG-0354,"Barang Contoh Ke-354",464,"Tata Usaha"
BRG-0355,"Barang Contoh Ke-355",241,"Penetapan Hak dan Pendaftaran"
BRG-0356,"Barang Contoh Ke-356",345,"Survei dan Pemetaan"
BRG-0357,"Barang Contoh Ke-357",313,"Pengadaan Tanah dan Pengembangan"
BRG-0358,"Barang Contoh Ke-358",18,"Pengadaan Tanah dan Pengembangan"
BRG-0359,"Barang Contoh Ke-359",402,"Pengendalian dan Penanganan Sengketa"
BRG-0360,"Barang Contoh Ke-360",41,"Tata Usaha"
BRG-0361,"Barang Contoh Ke-361",475,"Pengendalian dan Penanganan Sengketa"
BRG-0362,"Barang Contoh Ke-362",338,"Penetapan Hak dan Pendaftaran"
BRG-0363,"Barang Contoh Ke-363",444,"Pengendalian dan Penanganan Sengketa"
BRG-0364,"Barang Contoh Ke-364",160,"Survei dan Pemetaan"
BRG-0365,"Barang Contoh Ke-365",60,"Tata Usaha"
BRG-0366,"Barang Contoh Ke-366",348,"Pengendalian dan Penanganan Sengketa"
BRG-0367,"Barang Contoh Ke-367",423,"Pengendalian dan Penanganan Sengketa"
BRG-0368,"Barang Contoh Ke-368",423,"Tata Usaha"
BRG-0369,"Barang Contoh Ke-369",458,"Penataan dan Pemberdayaan"
BRG-0370,"Barang Contoh Ke-370",58,"Pengendalian dan Penanganan Sengketa"
BRG-0371,"Barang Contoh Ke-371",421,"Tata Usaha"
BRG-0372,"Barang Contoh Ke-372",327,"Tata Usaha"
BRG-0373,"Barang Contoh Ke-373",229,"Tata Usaha"
BRG-0374,"Barang Contoh Ke-374",337,"Survei dan Pemetaan"
BRG-0375,"Barang Contoh Ke-375",351,"Pengadaan Tanah dan Pengembangan"
BRG-0376,"Barang Contoh Ke-376",148,"Tata Usaha"
BRG-0377,"Barang Contoh Ke-377",140,"Pengadaan Tanah dan Pengembangan"
BRG-0378,"Barang Contoh Ke-378",11,"Pengadaan Tanah dan Pengembangan"
BRG-0379,"Barang Contoh Ke-379",362,"Tata Usaha"
BRG-0380,"Barang Contoh Ke-380",239,"Survei dan Pemetaan"
BRG-0381,"Barang Contoh Ke-381",431,"Survei dan Pemetaan"
BRG-0382,"Barang Contoh Ke-382",154,"Pengendalian dan Penanganan Sengketa"
BRG-0383,"Barang Contoh Ke-383",337,"Pengadaan Tanah dan Pengembangan"
BRG-0384,"Barang Contoh Ke-384",306,"Penataan dan Pemberdayaan"
BRG-0385,"Barang Contoh Ke-385",362,"Penataan dan Pemberdayaan"
BRG-0386,"Barang Contoh Ke-386",219,"Pengadaan Tanah dan Pengembangan"
BRG-0387,"Barang Contoh Ke-387",236,"Pengadaan Tanah dan Pengembangan"
BRG-0388,"Barang Contoh Ke-388",411,"Pengendalian dan Penanganan Sengketa"
BRG-0389,"Barang Contoh Ke-389",333,"Survei dan Pemetaan"
BRG-0390,"Barang Contoh Ke-390",282,"Survei dan Pemetaan"
BRG-0391,"Barang Contoh Ke-391",286,"Tata Usaha"
BRG-0392,"Barang Contoh Ke-392",228,"Pengadaan Tanah dan Pengembangan"
BRG-0393,"Barang Contoh Ke-393",229,"Pengendalian dan Penanganan Sengketa"
BRG-0394,"Barang Contoh Ke-394",449,"Pengadaan Tanah dan Pengembangan"
BRG-0395,"Barang Contoh Ke-395",267,"Penataan dan Pemberdayaan"
BRG-0396,"Barang Contoh Ke-396",429,"Tata Usaha"
BRG-0397,"Barang Contoh Ke-397",125,"Pengadaan Tanah dan Pengembangan"
BRG-0398,"Barang Contoh Ke-398",422,"Tata Usaha"
BRG-0399,"Barang Contoh Ke-399",38,"Tata Usaha"
BRG-0400,"Barang Contoh Ke-400",114,"Tata Usaha"
BRG-0401,"Barang Contoh Ke-401",73,"Penetapan Hak dan Pendaftaran"
BRG-0402,"Barang Contoh Ke-402",384,"Penataan dan Pemberdayaan"
BRG-0403,"Barang Contoh Ke-403",497,"Survei dan Pemetaan"
BRG-0404,"Barang Contoh Ke-404",322,"Penetapan Hak dan Pendaftaran"
BRG-0405,"Barang Contoh Ke-405",416,"Survei dan Pemetaan"
BRG-0406,"Barang Contoh Ke-406",234,"Pengendalian dan Penanganan Sengketa"
BRG-0407,"Barang Contoh Ke-407",185,"Tata Usaha"
BRG-0408,"Barang Contoh Ke-408",168,"Penetapan Hak dan Pendaftaran"
BRG-0409,"Barang Contoh Ke-409",308,"Penataan dan Pemberdayaan"
BRG-0410,"Barang Contoh Ke-410",109,"Survei dan Pemetaan"
BRG-0411,"Barang Contoh Ke-411",421,"Tata Usaha"
BRG-0412,"Barang Contoh Ke-412",13,"Tata Usaha"
BRG-0413,"Barang Contoh Ke-413",353,"Survei dan Pemetaan"
BRG-0414,"Barang Contoh Ke-414",136,"Survei dan Pemetaan"
BRG-0415,"Barang Contoh Ke-415",292,"Penetapan Hak dan Pendaftaran"
BRG-0416,"Barang Contoh Ke-416",195,"Penetapan Hak dan Pendaftaran"
BRG-0417,"Barang Contoh Ke-417",269,"Pengadaan Tanah dan Pengembangan"
BRG-0418,"Barang Contoh Ke-418",457,"Penetapan Hak dan Pendaftaran"
BRG-0419,"Barang Contoh Ke-419",382,"Pengendalian dan Penanganan Sengketa"
BRG-0420,"Barang Contoh Ke-420",446,"Pengendalian dan Penanganan Sengketa"
BRG-0421,"Barang Contoh Ke-421",63,"Tata Usaha"
BRG-0422,"Barang Contoh Ke-422",448,"Pengadaan Tanah dan Pengembangan"
BRG-0423,"Barang Contoh Ke-423",117,"Survei dan Pemetaan"
BRG-0424,"Barang Contoh Ke-424",236,"Tata Usaha"
BRG-0425,"Barang Contoh Ke-425",462,"Penetapan Hak dan Pendaftaran"
BRG-0426,"Barang Contoh Ke-426",111,"Pengendalian dan Penanganan Sengketa"
BRG-0427,"Barang Contoh Ke-427",231,"Tata Usaha"
BRG-0428,"Barang Contoh Ke-428",419,"Pengadaan Tanah dan Pengembangan"
BRG-0429,"Barang Contoh Ke-429",10,"Tata Usaha"
BRG-0430,"Barang Contoh Ke-430",233,"Pengendalian dan Penanganan Sengketa"
BRG-0431,"Barang Contoh Ke-431",418,"Penetapan Hak dan Pendaftaran"
BRG-0432,"Barang Contoh Ke-432",117,"Penataan dan Pemberdayaan"
BRG-0433,"Barang Contoh Ke-433",88,"Penetapan Hak dan Pendaftaran"
BRG-0434,"Barang Contoh Ke-434",467,"Penetapan Hak dan Pendaftaran"
BRG-0435,"Barang Contoh Ke-435",193,"Tata Usaha"
BRG-0436,"Barang Contoh Ke-436",235,"Survei dan Pemetaan"
BRG-0437,"Barang Contoh Ke-437",90,"Survei dan Pemetaan"
BRG-0438,"Barang Contoh Ke-438",125,"Pengadaan Tanah dan Pengembangan"
BRG-0439,"Barang Contoh Ke-439",377,"Tata Usaha"
BRG-0440,"Barang Contoh Ke-440",183,"Pengendalian dan Penanganan Sengketa"
BRG-0441,"Barang Contoh Ke-441",472,"Penetapan Hak dan Pendaftaran"
BRG-0442,"Barang Contoh Ke-442",489,"Tata Usaha"
BRG-0443,"Barang Contoh Ke-443",193,"Pengendalian dan Penanganan Sengketa"
BRG-0444,"Barang Contoh Ke-444",346,"Penetapan Hak dan Pendaftaran"
BRG-0445,"Barang Contoh Ke-445",160,"Penataan dan Pemberdayaan"
BRG-0446,"Barang Contoh Ke-446",144,"Pengendalian dan Penanganan Sengketa"
BRG-0447,"Barang Contoh Ke-447",497,"Penataan dan Pemberdayaan"
BRG-0448,"Barang Contoh Ke-448",419,"Penetapan Hak dan Pendaftaran"
BRG-0449,"Barang Contoh Ke-449",63,"Tata Usaha"
BRG-0450,"Barang Contoh Ke-450",236,"Pengendalian dan Penanganan Sengketa"
BRG-0451,"Barang Contoh Ke-451",430,"Tata Usaha"
BRG-0452,"Barang Contoh Ke-452",228,"Pengendalian dan Penanganan Sengketa"
BRG-0453,"Barang Contoh Ke-453",202,"Survei dan Pemetaan"
BRG-0454,"Barang Contoh Ke-454",297,"Tata Usaha"
BRG-0455,"Barang Contoh Ke-455",210,"Penetapan Hak dan Pendaftaran"
BRG-0456,"Barang Contoh Ke-456",272,"Penetapan Hak dan Pendaftaran"
BRG-0457,"Barang Contoh Ke-457",98,"Pengadaan Tanah dan Pengembangan"
BRG-0458,"Barang Contoh Ke-458",227,"Penataan dan Pemberdayaan"
BRG-0459,"Barang Contoh Ke-459",456,"Pengendalian dan Penanganan Sengketa"
BRG-0460,"Barang Contoh Ke-460",223,"Survei dan Pemetaan"
BRG-0461,"Barang Contoh Ke-461",487,"Pengendalian dan Penanganan Sengketa"
BRG-0462,"Barang Contoh Ke-462",78,"Pengadaan Tanah dan Pengembangan"
BRG-0463,"Barang Contoh Ke-463",404,"Pengadaan Tanah dan Pengembangan"
BRG-0464,"Barang Contoh Ke-464",337,"Penetapan Hak dan Pendaftaran"
BRG-0465,"Barang Contoh Ke-465",43,"Survei dan Pemetaan"
BRG-0466,"Barang Contoh Ke-466",185,"Penetapan Hak dan Pendaftaran"
BRG-0467,"Barang Contoh Ke-467",187,"Survei dan Pemetaan"
BRG-0468,"Barang Contoh Ke-468",336,"Tata Usaha"
BRG-0469,"Barang Contoh Ke-469",81,"Penetapan Hak dan Pendaftaran"
BRG-0470,"Barang Contoh Ke-470",282,"Tata Usaha"
BRG-0471,"Barang Contoh Ke-471",412,"Pengadaan Tanah dan Pengembangan"
BRG-0472,"Barang Contoh Ke-472",333,"Survei dan Pemetaan"
BRG-0473,"Barang Contoh Ke-473",268,"Pengendalian dan Penanganan Sengketa"
BRG-0474,"Barang Contoh Ke-474",49,"Penetapan Hak dan Pendaftaran"
BRG-0475,"Barang Contoh Ke-475",288,"Penataan dan Pemberdayaan"
BRG-0476,"Barang Contoh Ke-476",385,"Survei dan Pemetaan"
BRG-0477,"Barang Contoh Ke-477",178,"Survei dan Pemetaan"
BRG-0478,"Barang Contoh Ke-478",265,"Pengendalian dan Penanganan Sengketa"
BRG-0479,"Barang Contoh Ke-479",103,"Survei dan Pemetaan"
BRG-0480,"Barang Contoh Ke-480",151,"Survei dan Pemetaan"
BRG-0481,"Barang Contoh Ke-481",478,"Penetapan Hak dan Pendaftaran"
BRG-0482,"Barang Contoh Ke-482",406,"Pengadaan Tanah dan Pengembangan"
BRG-0483,"Barang Contoh Ke-483",342,"Penataan dan Pemberdayaan"
BRG-0484,"Barang Contoh Ke-484",118,"Survei dan Pemetaan"
BRG-0485,"Barang Contoh Ke-485",294,"Pengadaan Tanah dan Pengembangan"
BRG-0486,"Barang Contoh Ke-486",130,"Survei dan Pemetaan"
BRG-0487,"Barang Contoh Ke-487",348,"Pengadaan Tanah dan Pengembangan"
BRG-0488,"Barang Contoh Ke-488",302,"Tata Usaha"
BRG-0489,"Barang Contoh Ke-489",105,"Penataan dan Pemberdayaan"
BRG-0490,"Barang Contoh Ke-490",268,"Pengendalian dan Penanganan Sengketa"
BRG-0491,"Barang Contoh Ke-491",293,"Penataan dan Pemberdayaan"
BRG-0492,"Barang Contoh Ke-492",491,"Penetapan Hak dan Pendaftaran"
BRG-0493,"Barang Contoh Ke-493",231,"Penataan dan Pemberdayaan"
BRG-0494,"Barang Contoh Ke-494",336,"Pengendalian dan Penanganan Sengketa"
BRG-0495,"Barang Contoh Ke-495",275,"Pengadaan Tanah dan Pengembangan"
BRG-0496,"Barang Contoh Ke-496",343,"Penetapan Hak dan Pendaftaran"
BRG-0497,"Barang Contoh Ke-497",484,"Pengendalian dan Penanganan Sengketa"
BRG-0498,"Barang Contoh Ke-498",20,"Penataan dan Pemberdayaan"
BRG-0499,"Barang Contoh Ke-499",318,"Tata Usaha"
BRG-0500,"Barang Contoh Ke-500",186,"Tata Usaha"
BRG-0501,"Barang Contoh Ke-501",275,"Pengendalian dan Penanganan Sengketa"
BRG-0502,"Barang Contoh Ke-502",152,"Survei dan Pemetaan"
BRG-0503,"Barang Contoh Ke-503",134,"Pengadaan Tanah dan Pengembangan"
BRG-0504,"Barang Contoh Ke-504",326,"Tata Usaha"
BRG-0505,"Barang Contoh Ke-505",379,"Pengadaan Tanah dan Pengembangan"
BRG-0506,"Barang Contoh Ke-506",435,"Penetapan Hak dan Pendaftaran"
BRG-0507,"Barang Contoh Ke-507",41,"Pengendalian dan Penanganan Sengketa"
BRG-0508,"Barang Contoh Ke-508",249,"Pengadaan Tanah dan Pengembangan"
BRG-0509,"Barang Contoh Ke-509",354,"Penetapan Hak dan Pendaftaran"
BRG-0510,"Barang Contoh Ke-510",45,"Penataan dan Pemberdayaan"
BRG-0511,"Barang Contoh Ke-511",437,"Tata Usaha"
BRG-0512,"Barang Contoh Ke-512",132,"Tata Usaha"
BRG-0513,"Barang Contoh Ke-513",23,"Penataan dan Pemberdayaan"
BRG-0514,"Barang Contoh Ke-514",273,"Tata Usaha"
BRG-0515,"Barang Contoh Ke-515",341,"Penetapan Hak dan Pendaftaran"
BRG-0516,"Barang Contoh Ke-516",84,"Pengadaan Tanah dan Pengembangan"
BRG-0517,"Barang Contoh Ke-517",384,"Penataan dan Pemberdayaan"
BRG-0518,"Barang Contoh Ke-518",465,"Penetapan Hak dan Pendaftaran"
BRG-0519,"Barang Contoh Ke-519",232,"Penataan dan Pemberdayaan"
BRG-0520,"Barang Contoh Ke-520",403,"Tata Usaha"
BRG-0521,"Barang Contoh Ke-521",229,"Pengadaan Tanah dan Pengembangan"
BRG-0522,"Barang Contoh Ke-522",48,"Pengadaan Tanah dan Pengembangan"
BRG-0523,"Barang Contoh Ke-523",429,"Survei dan Pemetaan"
BRG-0524,"Barang Contoh Ke-524",40,"Tata Usaha"
BRG-0525,"Barang Contoh Ke-525",469,"Penataan dan Pemberdayaan"
BRG-0526,"Barang Contoh Ke-526",480,"Penataan dan Pemberdayaan"
BRG-0527,"Barang Contoh Ke-527",354,"Tata Usaha"
BRG-0528,"Barang Contoh Ke-528",353,"Survei dan Pemetaan"
BRG-0529,"Barang Contoh Ke-529",144,"Pengadaan Tanah dan Pengembangan"
BRG-0530,"Barang Contoh Ke-530",119,"Tata Usaha"
BRG-0531,"Barang Contoh Ke-531",203,"Pengadaan Tanah dan Pengembangan"
BRG-0532,"Barang Contoh Ke-532",446,"Penetapan Hak dan Pendaftaran"
BRG-0533,"Barang Contoh Ke-533",265,"Penataan dan Pemberdayaan"
BRG-0534,"Barang Contoh Ke-534",165,"Tata Usaha"
BRG-0535,"Barang Contoh Ke-535",302,"Penataan dan Pemberdayaan"
BRG-0536,"Barang Contoh Ke-536",491,"Tata Usaha"
BRG-0537,"Barang Contoh Ke-537",130,"Pengadaan Tanah dan Pengembangan"
BRG-0538,"Barang Contoh Ke-538",92,"Tata Usaha"
BRG-0539,"Barang Contoh Ke-539",295,"Penataan dan Pemberdayaan"
BRG-0540,"Barang Contoh Ke-540",64,"Pengendalian dan Penanganan Sengketa"
BRG-0541,"Barang Contoh Ke-541",32,"Penataan dan Pemberdayaan"
BRG-0542,"Barang Contoh Ke-542",481,"Tata Usaha"
BRG-0543,"Barang Contoh Ke-543",167,"Pengadaan Tanah dan Pengembangan"
BRG-0544,"Barang Contoh Ke-544",150,"Penataan dan Pemberdayaan"
BRG-0545,"Barang Contoh Ke-545",193,"Pengendalian dan Penanganan Sengketa"
BRG-0546,"Barang Contoh Ke-546",416,"Pengendalian dan Penanganan Sengketa"
BRG-0547,"Barang Contoh Ke-547",231,"Survei dan Pemetaan"
BRG-0548,"Barang Contoh Ke-548",16,"Tata Usaha"
BRG-0549,"Barang Contoh Ke-549",142,"Pengendalian dan Penanganan Sengketa"
BRG-0550,"Barang Contoh Ke-550",71,"Survei dan Pemetaan"
BRG-0551,"Barang Contoh Ke-551",87,"Tata Usaha"
BRG-0552,"Barang Contoh Ke-552",329,"Tata Usaha"
BRG-0553,"Barang Contoh Ke-553",48,"Penetapan Hak dan Pendaftaran"
BRG-0554,"Barang Contoh Ke-554",129,"Pengendalian dan Penanganan Sengketa"
BRG-0555,"Barang Contoh Ke-555",451,"Pengadaan Tanah dan Pengembangan"
BRG-0556,"Barang Contoh Ke-556",376,"Pengadaan Tanah dan Pengembangan"
BRG-0557,"Barang Contoh Ke-557",48,"Penetapan Hak dan Pendaftaran"
BRG-0558,"Barang Contoh Ke-558",242,"Penetapan Hak dan Pendaftaran"
BRG-0559,"Barang Contoh Ke-559",418,"Pengendalian dan Penanganan Sengketa"
BRG-0560,"Barang Contoh Ke-560",340,"Penataan dan Pemberdayaan"
BRG-0561,"Barang Contoh Ke-561",202,"Tata Usaha"
BRG-0562,"Barang Contoh Ke-562",105,"Pengendalian dan Penanganan Sengketa"
BRG-0563,"Barang Contoh Ke-563",294,"Survei dan Pemetaan"
BRG-0564,"Barang Contoh Ke-564",135,"Pengadaan Tanah dan Pengembangan"
BRG-0565,"Barang Contoh Ke-565",453,"Penetapan Hak dan Pendaftaran"
BRG-0566,"Barang Contoh Ke-566",13,"Pengadaan Tanah dan Pengembangan"
BRG-0567,"Barang Contoh Ke-567",382,"Penataan dan Pemberdayaan"
BRG-0568,"Barang Contoh Ke-568",451,"Pengadaan Tanah dan Pengembangan"
BRG-0569,"Barang Contoh Ke-569",186,"Pengadaan Tanah dan Pengembangan"
BRG-0570,"Barang Contoh Ke-570",406,"Pengadaan Tanah dan Pengembangan"
BRG-0571,"Barang Contoh Ke-571",202,"Penetapan Hak dan Pendaftaran"
BRG-0572,"Barang Contoh Ke-572",367,"Survei dan Pemetaan"
BRG-0573,"Barang Contoh Ke-573",16,"Penetapan Hak dan Pendaftaran"
BRG-0574,"Barang Contoh Ke-574",447,"Penataan dan Pemberdayaan"
BRG-0575,"Barang Contoh Ke-575",328,"Pengendalian dan Penanganan Sengketa"
BRG-0576,"Barang Contoh Ke-576",225,"Pengendalian dan Penanganan Sengketa"
BRG-0577,"Barang Contoh Ke-577",235,"Penetapan Hak dan Pendaftaran"
BRG-0578,"Barang Contoh Ke-578",416,"Tata Usaha"
BRG-0579,"Barang Contoh Ke-579",307,"Tata Usaha"
BRG-0580,"Barang Contoh Ke-580",65,"Pengendalian dan Penanganan Sengketa"
BRG-0581,"Barang Contoh Ke-581",185,"Pengadaan Tanah dan Pengembangan"
BRG-0582,"Barang Contoh Ke-582",182,"Penetapan Hak dan Pendaftaran"
BRG-0583,"Barang Contoh Ke-583",144,"Penataan dan Pemberdayaan"
BRG-0584,"Barang Contoh Ke-584",480,"Survei dan Pemetaan"
BRG-0585,"Barang Contoh Ke-585",121,"Survei dan Pemetaan"
BRG-0586,"Barang Contoh Ke-586",332,"Pengadaan Tanah dan Pengembangan"
BRG-0587,"Barang Contoh Ke-587",43,"Pengendalian dan Penanganan Sengketa"
BRG-0588,"Barang Contoh Ke-588",464,"Tata Usaha"
BRG-0589,"Barang Contoh Ke-589",301,"Penetapan Hak dan Pendaftaran"
BRG-0590,"Barang Contoh Ke-590",464,"Penetapan Hak dan Pendaftaran"
BRG-0591,"Barang Contoh Ke-591",215,"Penataan dan Pemberdayaan"
BRG-0592,"Barang Contoh Ke-592",46,"Pengadaan Tanah dan Pengembangan"
BRG-0593,"Barang Contoh Ke-593",462,"Penetapan Hak dan Pendaftaran"
BRG-0594,"Barang Contoh Ke-594",322,"Pengendalian dan Penanganan Sengketa"
BRG-0595,"Barang Contoh Ke-595",158,"Survei dan Pemetaan"
BRG-0596,"Barang Contoh Ke-596",218,"Tata Usaha"
BRG-0597,"Barang Contoh Ke-597",490,"Pengadaan Tanah dan Pengembangan"
BRG-0598,"Barang Contoh Ke-598",160,"Survei dan Pemetaan"
BRG-0599,"Barang Contoh Ke-599",474,"Penetapan Hak dan Pendaftaran"
BRG-0600,"Barang Contoh Ke-600",303,"Survei dan Pemetaan"
BRG-0601,"Barang Contoh Ke-601",218,"Penataan dan Pemberdayaan"
BRG-0602,"Barang Contoh Ke-602",419,"Pengendalian dan Penanganan Sengketa"
BRG-0603,"Barang Contoh Ke-603",223,"Pengendalian dan Penanganan Sengketa"
BRG-0604,"Barang Contoh Ke-604",109,"Survei dan Pemetaan"
BRG-0605,"Barang Contoh Ke-605",428,"Pengendalian dan Penanganan Sengketa"
BRG-0606,"Barang Contoh Ke-606",452,"Penetapan Hak dan Pendaftaran"
BRG-0607,"Barang Contoh Ke-607",46,"Survei dan Pemetaan"
BRG-0608,"Barang Contoh Ke-608",473,"Pengadaan Tanah dan Pengembangan"
BRG-0609,"Barang Contoh Ke-609",181,"Survei dan Pemetaan"
BRG-0610,"Barang Contoh Ke-610",224,"Pengadaan Tanah dan Pengembangan"
BRG-0611,"Barang Contoh Ke-611",415,"Survei dan Pemetaan"
BRG-0612,"Barang Contoh Ke-612",443,"Penataan dan Pemberdayaan"
BRG-0613,"Barang Contoh Ke-613",142,"Survei dan Pemetaan"
BRG-0614,"Barang Contoh Ke-614",349,"Penetapan Hak dan Pendaftaran"
BRG-0615,"Barang Contoh Ke-615",467,"Penetapan Hak dan Pendaftaran"
BRG-0616,"Barang Contoh Ke-616",439,"Survei dan Pemetaan"
BRG-0617,"Barang Contoh Ke-617",396,"Penataan dan Pemberdayaan"
BRG-0618,"Barang Contoh Ke-618",26,"Penataan dan Pemberdayaan"
BRG-0619,"Barang Contoh Ke-619",343,"Pengadaan Tanah dan Pengembangan"
BRG-0620,"Barang Contoh Ke-620",99,"Pengadaan Tanah dan Pengembangan"
BRG-0621,"Barang Contoh Ke-621",91,"Pengadaan Tanah dan Pengembangan"
BRG-0622,"Barang Contoh Ke-622",303,"Pengendalian dan Penanganan Sengketa"
BRG-0623,"Barang Contoh Ke-623",26,"Tata Usaha"
BRG-0624,"Barang Contoh Ke-624",10,"Penataan dan Pemberdayaan"
BRG-0625,"Barang Contoh Ke-625",20,"Tata Usaha"
BRG-0626,"Barang Contoh Ke-626",232,"Pengendalian dan Penanganan Sengketa"
BRG-0627,"Barang Contoh Ke-627",116,"Penataan dan Pemberdayaan"
BRG-0628,"Barang Contoh Ke-628",484,"Tata Usaha"
BRG-0629,"Barang Contoh Ke-629",419,"Pengadaan Tanah dan Pengembangan"
BRG-0630,"Barang Contoh Ke-630",373,"Survei dan Pemetaan"
BRG-0631,"Barang Contoh Ke-631",15,"Tata Usaha"
BRG-0632,"Barang Contoh Ke-632",180,"Pengendalian dan Penanganan Sengketa"
BRG-0633,"Barang Contoh Ke-633",44,"Penataan dan Pemberdayaan"
BRG-0634,"Barang Contoh Ke-634",240,"Survei dan Pemetaan"
BRG-0635,"Barang Contoh Ke-635",491,"Tata Usaha"
BRG-0636,"Barang Contoh Ke-636",176,"Tata Usaha"
BRG-0637,"Barang Contoh Ke-637",497,"Penataan dan Pemberdayaan"
BRG-0638,"Barang Contoh Ke-638",255,"Tata Usaha"
BRG-0639,"Barang Contoh Ke-639",84,"Penataan dan Pemberdayaan"
BRG-0640,"Barang Contoh Ke-640",57,"Pengendalian dan Penanganan Sengketa"
BRG-0641,"Barang Contoh Ke-641",57,"Tata Usaha"
BRG-0642,"Barang Contoh Ke-642",266,"Tata Usaha"
BRG-0643,"Barang Contoh Ke-643",294,"Tata Usaha"
BRG-0644,"Barang Contoh Ke-644",223,"Pengadaan Tanah dan Pengembangan"
BRG-0645,"Barang Contoh Ke-645",258,"Penataan dan Pemberdayaan"
BRG-0646,"Barang Contoh Ke-646",363,"Penataan dan Pemberdayaan"
BRG-0647,"Barang Contoh Ke-647",339,"Survei dan Pemetaan"
BRG-0648,"Barang Contoh Ke-648",400,"Pengadaan Tanah dan Pengembangan"
BRG-0649,"Barang Contoh Ke-649",81,"Pengendalian dan Penanganan Sengketa"
BRG-0650,"Barang Contoh Ke-650",493,"Survei dan Pemetaan"
BRG-0651,"Barang Contoh Ke-651",248,"Penetapan Hak dan Pendaftaran"
BRG-0652,"Barang Contoh Ke-652",255,"Pengendalian dan Penanganan Sengketa"
BRG-0653,"Barang Contoh Ke-653",187,"Pengendalian dan Penanganan Sengketa"
BRG-0654,"Barang Contoh Ke-654",228,"Survei dan Pemetaan"
BRG-0655,"Barang Contoh Ke-655",435,"Penetapan Hak dan Pendaftaran"
BRG-0656,"Barang Contoh Ke-656",286,"Penetapan Hak dan Pendaftaran"
BRG-0657,"Barang Contoh Ke-657",48,"Survei dan Pemetaan"
BRG-0658,"Barang Contoh Ke-658",110,"Pengendalian dan Penanganan Sengketa"
BRG-0659,"Barang Contoh Ke-659",20,"Penetapan Hak dan Pendaftaran"
BRG-0660,"Barang Contoh Ke-660",86,"Penetapan Hak dan Pendaftaran"
BRG-0661,"Barang Contoh Ke-661",405,"Pengendalian dan Penanganan Sengketa"
BRG-0662,"Barang Contoh Ke-662",426,"Pengendalian dan Penanganan Sengketa"
